File name, Time(s), Best path, Path lenght, Optimum, Best path, % of mistake
tsp_10.txt, 0.198000, 1-5-0-3-4-2-8-7-6-9-1, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.200000, 2-4-3-0-5-1-9-6-7-8-2, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.202000, 3-0-5-1-9-6-7-8-2-4-3, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.202000, 3-0-5-1-9-6-7-8-2-4-3, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.208000, 4-2-8-7-6-9-1-5-0-3-4, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.200000, 1-5-0-3-4-2-8-7-6-9-1, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.205000, 1-5-0-3-4-2-8-7-6-9-1, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.204000, 3-0-5-1-9-6-7-8-2-4-3, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.207000, 8-2-4-3-0-5-1-9-6-7-8, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.206000, 7-6-9-1-5-0-3-4-2-8-7, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.212000, 4-2-8-7-6-9-1-5-0-3-4, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.207000, 2-4-3-0-5-1-9-6-7-8-2, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.231000, 7-6-9-1-5-0-3-4-2-8-7, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.209000, 7-6-9-1-5-0-3-4-2-8-7, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.203000, 9-1-5-0-3-4-2-8-7-6-9, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.208000, 3-0-5-1-9-6-7-8-2-4-3, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.200000, 1-5-0-3-4-2-8-7-6-9-1, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.207000, 9-1-5-0-3-4-2-8-7-6-9, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
tsp_10.txt, 0.200000, 8-2-4-3-0-5-1-9-6-7-8, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
